insee_code,total_rooftops,pv_rooftops_count
03144,780,19
03145,845,21
03146,374,4
03147,561,4
03148,419,7
03149,632,11
03150,748,8
03151,503,2
03152,538,10
03154,714,8
03155,3177,43
03156,2042,42
03157,1101,25
03158,1792,43
03159,925,5
03160,524,9
03161,1780,45
03162,334,6
03163,852,28
03164,454,3
03165,2134,20
03166,463,9
03167,805,11
03168,1917,9
03169,544,6
03170,357,4
03171,659,6
03172,394,9
03173,1587,40
03174,1330,35
03175,653,9
03176,793,23
03177,894,10
03178,824,8
03179,722,8
03180,742,14
03181,931,9
03182,452,10
03183,522,4
03184,651,8
03185,21318,179
03186,1765,18
03187,747,5
03188,327,6
03189,1331,21
03190,9059,52
03191,648,19
03192,335,5
03193,358,10
03194,347,1
03195,2806,50
03196,719,18
03197,1889,33
03198,391,9
03200,1539,24
03201,699,12
03202,1197,10
03203,841,14
03204,910,20
03205,858,10
03206,552,7
03207,991,20
03208,750,18
03209,200,4
03210,906,10
03211,2323,44
03212,1786,37
03213,395,3
03214,516,8
03215,765,19
03216,423,6
03217,982,21
03218,657,14
03219,600,7
03220,1129,20
03221,1453,13
03222,304,8
03223,913,16
03224,868,9
03225,1050,13
03226,789,22
03227,653,9
03228,226,4
03229,1065,9
03230,788,8
03231,497,8
03232,316,12
03233,564,15
03234,849,18
03235,1343,18
03236,2860,38
03237,711,10
03238,900,14
03239,577,14
03240,1240,14
03241,800,15
03242,785,20
03243,305,9
03244,450,15
03245,356,6
03246,1046,19
03247,1401,20
03248,618,4
03249,629,6
03250,747,15
03251,1104,18
03252,928,12
03253,852,14
03254,5019,56
03255,305,6
03256,713,20
03257,1163,24
03258,2026,37
03259,934,18
03260,550,11
03261,447,5
03262,2378,40
03263,426,8
03264,2457,42
03265,1602,20
03266,436,5
03267,934,18
03268,588,5
03269,262,1
03270,397,9
03271,1046,19
03272,473,2
03273,519,19
03274,699,9
03275,2266,29
03276,273,7
03277,545,11
03278,445,9
03279,870,11
03280,540,5
03281,857,13
03282,1060,11
03283,1930,14
03284,708,12
03285,481,6
03286,1274,22
03287,804,19
03288,1124,24
03289,1030,15
03290,1661,27
03291,817,8
03292,1306,28
03293,640,6
03294,354,4
03295,151,0
03296,956,12
03297,2248,43
03298,3632,57
03299,634,13
03300,1182,19
03301,1246,26
03302,93,0
03303,642,14
03304,2424,53
03305,948,17
03306,1817,49
03307,460,7
03308,400,15
03309,827,10
03310,10128,109
03311,770,13
03312,743,11
03313,784,9
03314,1382,41
03315,1708,36
03316,1261,13
03317,1064,14
03319,955,15
03320,1714,24
03321,9653,140
04001,1361,38
04004,788,8
04005,322,3
04006,1778,16
04007,211,3
04008,1392,21
04009,66,0
04012,149,5
04013,676,18
04016,154,1
04017,260,3
04018,1320,20
04019,2134,22
04020,341,2
04021,301,2
04022,884,4
04023,656,6
04024,280,2
04025,1284,7
04026,361,6
04027,325,11
04028,318,3
04030,273,1
04031,960,19
04032,820,3
04033,1353,23
04034,839,18
04035,356,2
04036,1083,21
04037,150,0
04039,3097,30
04040,179,3
04041,358,10
04042,472,3
04043,331,3
04045,1677,28
04046,869,14
04047,846,21
04049,5082,91
04050,86,0
04051,214,0
04053,545,15
04054,116,3
04055,343,7
04057,304,5
04058,350,9
04059,697,3
04061,1241,5
04062,427,2
04063,1137,34
04065,974,22
04066,600,29
04067,114,3
04068,1041,12
04069,265,2
04070,9773,170
04072,124,0
04073,881,12
04074,184,3
04075,653,19
04076,1569,10
04077,364,11
04079,1397,35
04081,1038,8
04084,868,11
04085,88,0
04086,489,9
04087,206,5
04088,4962,70
04090,677,3
04091,94,2
04092,228,1
04093,109,2
04094,3064,56
04095,236,3
04096,1431,34
04097,558,12
04099,303,1
04101,240,6
04102,573,2
04104,425,6
04106,709,10
04107,45,0
04108,1439,56
04109,447,6
04110,1099,23
04111,1599,17
04112,12810,242
04113,652,8
04115,549,6
04116,3790,116
04118,211,11
04120,266,4
04121,784,14
04122,764,10
04123,1589,36
04124,946,7
04126,1096,26
04127,312,4
04128,251,10
